control_id,control_name,period,population,pass_rate,rag_status,mom_delta,z_score,z_flagged,if_anomaly_score,if_flagged,anomaly_flagged,anomaly_type
CM-01,Dual Approval Threshold,2025-09,74,0.9459,Red,,,False,0.38685202399177687,False,False,
CM-01,Dual Approval Threshold,2025-10,74,0.9459,Red,0.0,,False,0.38685202399177687,False,False,
CM-01,Dual Approval Threshold,2025-11,67,0.9701,Amber,0.0242,,False,0.5350762347923353,False,False,
CM-01,Dual Approval Threshold,2025-12,77,0.961,Amber,-0.009099999999999997,0.5033921768554177,False,0.48348779110866924,False,False,
CM-01,Dual Approval Threshold,2026-01,70,0.9429,Red,-0.018100000000000005,-1.074325720987822,False,0.4755027889478882,False,False,
CM-01,Dual Approval Threshold,2026-02,64,0.9531,Red,0.010199999999999987,-0.14623059868005775,False,0.4241267407401889,False,False,
CM-01,Dual Approval Threshold,2026-03,66,0.9697,Amber,0.01660000000000006,1.1173458460416705,False,0.5013629405738343,False,False,
CM-01,Dual Approval Threshold,2026-04,82,0.9268,Red,-0.04290000000000005,-2.6172345817432587,True,0.6016368836992474,True,True,Step-change deterioration
CM-01,Dual Approval Threshold,2026-05,75,0.9467,Red,0.01990000000000003,-0.07915496123003064,False,0.44909926060976013,False,False,
CM-01,Dual Approval Threshold,2026-06,81,0.9506,Red,0.0039000000000000146,0.08599650646963237,False,0.40202008707524856,False,False,
CM-01,Dual Approval Threshold,2026-07,82,0.9634,Amber,0.012800000000000034,0.8500311712018743,False,0.4576910820358949,False,False,
CM-01,Dual Approval Threshold,2026-08,54,0.8889,Red,-0.07450000000000001,-3.822792921416379,True,0.7286735104753496,True,True,Step-change deterioration
CM-02,Custodian Reconciliation Match,2025-09,337,0.9822,Green,,,False,0.42120363618251905,False,False,
CM-02,Custodian Reconciliation Match,2025-10,359,0.9777,Amber,-0.0044999999999999485,,False,0.47156186325121946,False,False,
CM-02,Custodian Reconciliation Match,2025-11,306,0.9706,Amber,-0.007099999999999995,,False,0.6579570031331595,True,True,Gradual multi-signal drift
CM-02,Custodian Reconciliation Match,2025-12,344,0.9884,Green,0.017799999999999927,1.9777618878209275,False,0.5818068614462939,False,False,
CM-02,Custodian Reconciliation Match,2026-01,314,0.9873,Green,-0.0010999999999999899,1.0100074815646136,False,0.4270834398737506,False,False,
CM-02,Custodian Reconciliation Match,2026-02,290,0.9862,Green,-0.0010999999999999899,0.6164034081609948,False,0.3937806137003003,False,False,
CM-02,Custodian Reconciliation Match,2026-03,355,0.9859,Green,-0.00029999999999996696,0.3304293463112083,False,0.3991119303189575,False,False,
CM-02,Custodian Reconciliation Match,2026-04,325,0.9815,Green,-0.0043999999999999595,-4.786106177190889,True,0.4238324531440284,False,True,Statistical outlier (single period)
CM-02,Custodian Reconciliation Match,2026-05,291,0.9794,Amber,-0.0020999999999999908,-2.279644112889114,True,0.4560801883939963,False,True,Statistical outlier (single period)
CM-02,Custodian Reconciliation Match,2026-06,325,0.9846,Green,0.005199999999999982,0.40332964082365763,False,0.4672349137238046,False,False,
CM-02,Custodian Reconciliation Match,2026-07,334,0.991,Green,0.006399999999999961,2.763638260593479,True,0.6027746509958553,True,True,Statistical outlier (single period)
CM-02,Custodian Reconciliation Match,2026-08,292,0.9829,Green,-0.008099999999999996,-0.242257818250599,False,0.47303492861210844,False,False,
FC-01,Fee Recalculation Match,2025-09,297,0.9865,Green,,,False,0.36165264352815585,False,False,
FC-01,Fee Recalculation Match,2025-10,297,0.9731,Green,-0.013400000000000079,,False,0.44546777647393,False,False,
FC-01,Fee Recalculation Match,2025-11,299,0.9866,Green,0.013500000000000068,,False,0.3774054758467585,False,False,
FC-01,Fee Recalculation Match,2025-12,296,0.9797,Green,-0.006900000000000017,-0.30476594351002206,False,0.37481590594502157,False,False,
FC-01,Fee Recalculation Match,2026-01,296,0.9831,Green,0.0033999999999999586,0.2519379844961207,False,0.3523091947032806,False,False,
FC-01,Fee Recalculation Match,2026-02,299,0.7625,Red,-0.22060000000000002,-37.9118560929752,True,0.8000460779495381,True,True,Step-change deterioration
