price_id,fund_id,price_date,price,prior_price,independent_source_price,break_identified_date,break_resolved_date,variance_bps,has_break,resolution_bdays
900001,FUND001,2025-09-01,31.6422,31.5964,31.6177,,,7.748824234526783,False,
900002,FUND002,2025-09-01,140.0621,140.5659,139.9764,,,6.1224606433637625,False,
900003,FUND003,2025-09-01,204.621,203.8246,204.7015,,,3.9325554526957873,False,
900004,FUND004,2025-09-01,78.5341,78.9984,78.535,,,0.11459858661761702,False,
900005,FUND005,2025-09-01,196.9084,197.0333,196.9637,,,2.807623942888378,False,
900006,FUND006,2025-09-01,219.3222,218.3088,219.3305,,,0.37842434134747854,False,
900007,FUND007,2025-09-01,171.8559,171.5824,171.8832,,,1.5882878605935178,False,
900008,FUND008,2025-09-01,56.0171,55.7399,56.0452,,,5.0138102817015575,False,
900009,FUND009,2025-09-01,205.0286,206.3392,204.9552,,,3.5812704434930556,False,
900010,FUND010,2025-09-01,121.6383,121.6493,121.6507,,,1.0193118494180076,False,
900011,FUND011,2025-09-01,143.5394,143.4852,143.5836,,,3.078345994945757,False,
900012,FUND012,2025-09-01,155.5496,155.0115,155.5889,,,2.525887129480138,False,
900013,FUND013,2025-09-01,170.2127,170.9804,170.4382,,,13.230602059865832,False,
900014,FUND014,2025-09-01,124.1022,124.706,122.7783,2025-09-01,2025-09-02,107.82850063895613,True,1.0
900015,FUND015,2025-09-01,153.932,153.7231,153.7955,,,8.87542223276909,False,
900016,FUND016,2025-09-01,27.8546,28.0466,27.8579,,,1.1845831882515963,False,
900017,FUND017,2025-09-01,23.5899,23.5989,23.5857,,,1.7807400246763379,False,
900018,FUND018,2025-09-01,242.3509,240.7289,242.0998,,,10.371755780054677,False,
900019,FUND019,2025-09-01,154.801,154.3311,154.7705,,,1.9706597833559572,False,
900020,FUND020,2025-09-01,133.2771,131.6699,133.2671,,,0.7503727476617188,False,
900021,FUND001,2025-09-02,31.6761,31.6422,31.6684,,,2.431445857701485,False,
900022,FUND002,2025-09-02,140.3208,140.0621,140.4341,,,8.067841072788553,False,
900023,FUND003,2025-09-02,205.2859,204.621,205.4081,,,5.9491324830906045,False,
900024,FUND004,2025-09-02,78.7869,78.5341,78.7827,,,0.5331119649361239,False,
900025,FUND005,2025-09-02,198.0331,196.9084,198.1605,,,6.4291319410287535,False,
900026,FUND006,2025-09-02,220.1588,219.3222,220.2202,,,2.7881184378177797,False,
900027,FUND007,2025-09-02,172.9173,171.8559,173.0289,,,6.4497896016203935,False,
900028,FUND008,2025-09-02,56.0674,56.0171,56.0713,,,0.6955429961498252,False,
900029,FUND009,2025-09-02,204.8329,205.0286,204.9479,,,5.6111821589784086,False,
900030,FUND010,2025-09-02,121.0806,121.6383,121.0207,,,4.949566479122906,False,
900031,FUND011,2025-09-02,142.9446,143.5394,142.9841,,,2.762544926324246,False,
900032,FUND012,2025-09-02,156.4563,155.5496,156.5534,,,6.202356512219583,False,
900033,FUND013,2025-09-02,170.8021,170.2127,170.7955,,,0.38642704286656987,False,
900034,FUND014,2025-09-02,123.5635,124.1022,123.6033,,,3.2199787546125074,False,
900035,FUND015,2025-09-02,154.6683,153.932,154.7113,,,2.779370349806793,False,
900036,FUND016,2025-09-02,27.8519,27.8546,27.8557,,,1.3641732212790378,False,
900037,FUND017,2025-09-02,23.6073,23.5899,23.6287,,,9.05678264144869,False,
900038,FUND018,2025-09-02,240.6701,242.3509,240.7805,,,4.585088908777849,False,
900039,FUND019,2025-09-02,154.6566,154.801,156.1021,2025-09-02,2025-09-04,92.59965112577022,True,2.0
900040,FUND020,2025-09-02,132.9481,133.2771,132.8946,,,4.025746719581824,False,
900041,FUND001,2025-09-03,31.3561,31.6761,31.3613,,,1.6580945305196337,False,
900042,FUND002,2025-09-03,141.2419,140.3208,141.2172,,,1.7490787241211216,False,
900043,FUND003,2025-09-03,204.958,205.2859,205.1353,,,8.643076057606978,False,
900044,FUND004,2025-09-03,78.3038,78.7869,78.2598,,,5.622299060308988,False,
900045,FUND005,2025-09-03,198.0514,198.0331,198.0176,,,1.706918980939755,False,
900046,FUND006,2025-09-03,219.421,220.1588,219.6767,,,11.639832535722665,False,
900047,FUND007,2025-09-03,171.194,172.9173,171.1814,,,0.7360612776850728,False,
900048,FUND008,2025-09-03,56.1181,56.0674,56.1774,,,10.555846301181678,False,
900049,FUND009,2025-09-03,205.5287,204.8329,205.8011,,,13.236080856710904,False,
900050,FUND010,2025-09-03,120.9418,121.0806,120.9569,,,1.248378554675582,False,
900051,FUND011,2025-09-03,142.2676,142.9446,142.3286,,,4.28585681303737,False,
900052,FUND012,2025-09-03,157.12,156.4563,157.1136,,,0.4073485681706425,False,
900053,FUND013,2025-09-03,171.4286,170.8021,171.4267,,,0.11083454327580292,False,
900054,FUND014,2025-09-03,123.3622,123.5635,123.3295,,,2.651433760779497,False,
900055,FUND015,2025-09-03,154.9146,154.6683,154.7111,,,13.15354877575168,False,
900056,FUND016,2025-09-03,27.6174,27.8519,27.6058,,,4.202015518478504,False,
900057,FUND017,2025-09-03,23.6792,23.6073,23.667,,,5.154856973845433,False,
900058,FUND018,2025-09-03,240.377,240.6701,240.3866,,,0.39935670291013003,False,
900059,FUND019,2025-09-03,156.7806,154.6566,156.863,,,5.252991463889312,False,
900060,FUND020,2025-09-03,133.2893,132.9481,133.2367,,,3.947861212412495,False,
900061,FUND001,2025-09-04,31.2146,31.3561,31.1948,,,6.347211714772987,False,
900062,FUND002,2025-09-04,141.2315,141.2419,141.1556,,,5.377044906473318,False,
900063,FUND003,2025-09-04,204.9766,204.958,204.9416,,,1.7078035889246788,False,
900064,FUND004,2025-09-04,78.3276,78.3038,78.319,,,1.0980732644698314,False,
900065,FUND005,2025-09-04,199.5423,198.0514,199.4357,,,5.345081146455447,False,
900066,FUND006,2025-09-04,218.9783,219.421,218.9722,,,0.27857417516943006,False,
900067,FUND007,2025-09-04,170.7776,171.194,170.7686,,,0.5270289737114757,False,
900068,FUND008,2025-09-04,56.075,56.1181,56.0329,,,7.5134429950984005,False,
900069,FUND009,2025-09-04,205.416,205.5287,205.4364,,,0.9930080550474545,False,
900070,FUND010,2025-09-04,120.7891,120.9418,120.7092,,,6.61921377989492,False,
900071,FUND011,2025-09-04,141.3587,142.2676,141.2324,,,8.942707197497622,False,
900072,FUND012,2025-09-04,157.6021,157.12,157.5723,,,1.8911953433436266,False,
900073,FUND013,2025-09-04,171.3458,171.4286,171.2694,,,4.460808527384734,False,
900074,FUND014,2025-09-04,123.6133,123.3622,123.5297,,,6.767603256543964,False,
900075,FUND015,2025-09-04,154.6426,154.9146,154.6482,,,0.3621122004663081,False,
